node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
TIFY5A	TIFY9	3702.Q8LBM2	3702.Q93ZM9	0	0	0	0	0.463	0.230	0	0.909	0.959
TIFY6B	TIFY9	3702.Q9LVI4	3702.Q93ZM9	0	0	0	0	0.107	0.474	0	0.904	0.950
TIFY7	TIFY9	3702.Q8W4J8	3702.Q93ZM9	0	0	0	0	0.310	0.230	0	0.926	0.957
TT1	TTG1	3702.Q8VWG3	3702.Q9XGN1	0	0	0	0	0	0	0	0.938	0.938
TT1	TT8	3702.Q8VWG3	3702.Q9FT81	0	0	0	0	0	0	0.059	0.938	0.939
TT1	TT2	3702.Q8VWG3	3702.Q9FJA2	0	0	0	0	0.072	0.230	0	0.970	0.976
TT2	TTG1	3702.Q9FJA2	3702.Q9XGN1	0	0	0	0	0.053	0.230	0	0.999	0.999
TT2	TT8	3702.Q9FJA2	3702.Q9FT81	0	0	0	0	0.048	0.573	0	0.999	0.999
TT8	TTG1	3702.Q9FT81	3702.Q9XGN1	0	0	0	0	0	0.573	0	0.999	0.999
TTG1	WER	3702.Q9XGN1	3702.Q9SEI0	0	0	0	0	0.053	0	0	0.995	0.995
